form_id	submission_id	connection	estimate	field	field_other	interest	plang	plang_other	tools	tools_other	work_institute	work_place	work_place_other
298521	24515431	NA	100	social	NA	1	eprime	NA	local	NA	NA	other	Østfold University College
298521	24451581	NA	100	humanities;social	NA	1	other	not yet but I would probably use matlab or python	local;qualtrics	NA	RITMO	UiO	NA
298521	24442590	Send data to lagringshotell maybe. General comment: I support this service. Please provide a simple way for us to upload our front-end web app with arbritrary JS code capabilities, and option to remove all nettskjema/uio logos etc from the front-end during test-runtime.	1000	social	NA	1	js	NA	other	In-house custom web app/server	ISP/UV	UiO	NA
298521	24423684	maybe a nettskjema-qualtrics connector? Connect to the Sona system currently in use for the subject pool in social psychology?	1000	social	NA	1	js	NA	qualtrics	NA	PSI	UiO	NA
298521	24402586	audio recordings	140	humanities	NA	1	python	NA	gorilla;pavlovia	NA	MultiLing	UiO	NA
298521	24401864	Audio recordings	150	humanities	NA	1	python	NA	gorilla;pavlovia	NA	MultiLing, ILN	UiO	NA
298521	24375773	An API for both anonymization features and secure storage of data would be nice. Also, if UiO can provide a framework for anonymization it might open a lot of possibilities for using external platforms, even those where we don't have control over the code.	300	humanities;social	NA	1	js	NA	other	Testable.org, self-hosted html/javascript (using the jsPsych library)	Special Needs Education	UiO	NA
298521	24360088	NA	50	humanities	NA	1	other;python	R	local	NA	IFIKK	UiO	NA
298521	24358531	Prolific	750	humanities;medical;natural;social	NA	1	matlab;python	NA	other	Prolific	RITMO Center for Interdisciplinary Studies in Rhythm, Time, and Motion	UiO	NA
298521	24331853	NA	200	social	NA	1	js	NA	qualtrics	NA	Department of Psychology	UiO	NA
298521	24317519	NA	3000	social	NA	1	js;python	NA	other;qualtrics	Monkey Survey	Institute of Psychology	NTNU	NA
298521	24316238	Ethica (experience sampling data on app)	300	social	NA	1	other	Qualtrics	qualtrics	NA	Psychology	NTNU	NA
298521	24315558	prolific	120	social	NA	1	eprime	NA	local	NA	ILN	UiO	NA
298521	24314640	NA	600	social	NA	1	other	Do not know	qualtrics	NA	Department of Psychology	UiO	NA
298521	24307349	NA	200	natural	NA	0	other;python	Inquisit	local;qualtrics	NA	NA	NTNU	NA
298521	24306743	Sorry, the answering field above wouldn't accept my answer: I don't know what time series data set is? I have about 3-6 data collections a year with approx 400 participants per data collection. Regarding the present question: My needs are quite basic and what I need is the possibility to set up experimental designs like I do in Qualtrics. I am happy to show you what I mean, as I am sure there are many people with similar needs. I also need a new program to NOT require me to learn a programming language :-)	1	social	NA	1	other	English or Norwegian ;-) (Qualtrics questionnaires can be made without any programming language)	qualtrics	NA	Department of psychology, MAKS, Epistemic feelings lab	UiO	NA
298521	24304826	NA	150	humanities;social	NA	1	matlab	NA	local	NA	MultiLing/ILN/HF	UiO	NA
298521	24304414	NA	500	social	NA	1	eprime;matlab;python	NA	local;other	Nettskjema solution	Center for Lifespan Changes in Brain and Cognition, Department of Psychology	UiO	NA
298521	24304300	OpenPose, DeepLabCut, MediaPipe, and other motion tracking video-analysis platforms. (Note: Time series data are not my main focus. I use web-based experiments for acceptability rating studies, forced-choice experiments, etc. (I'm in Linguistics.) I think 3-4 experiments per year are a good goal.)	400	humanities	NA	1	other	I myself have not been doing the coding.	gorilla;other	Prolific, PCIbex, Nettskjema	ILN (Institutt for lingvistiske og nordiske studier)	UiO	NA
298521	24302765	NA	500	medical	NA	1	neuropsych;python	NA	gorilla;local	NA	Psychological Institute	UiO	NA
