form_id	submission_id	comments	faculty	future_help	future_help_budget	future_help_description	institute	past_approach	past_help	past_needs	past_satisfaction
315246	25638770	NA	sv	data-flow;data-processing;help-navigating;learning;reproducible	yes	Setting fmri pipelines, r-help, database curation, and tsd-related and software help	LCBC	Mo, Markus, Inge, from LCBC	everything	yes	10
315246	25628060	NA	sv	data-flow;data-processing;new-methods;reproducible	possibly	NA	Department of Psychology/PROMENTA	USITColleagues	some	yes	6
315246	25627651	NA	sv	data-flow;data-processing;reproducible	yes	NA	PSI	Administration at PSI	some	yes	4
315246	25627414	NA	sv	data-flow;data-processing;help-navigating;help-using;learning;new-methods	possibly	NA	PSI	NA	some	yes	5
315246	25625962	In Promenta, we now always include funding for data management in the applications. We will also have data-management staff on permanent bases. But I will think that such a person will not have all neccessary knowledge, thus we need cooperation across research groups. We also need such support for researchers who are not part of large research groups.	sv	data-flow;fair;help-navigating;help-using;reproducible	yes	Large questionnaire studies: Ethical issues, practical issues with nettskjema, logical issues with nettskjema, how to send out many invitations, system for communications with participants, TSD access logic with multiple people needing assess to different data, sharing of syntaxes, automation of data quality control, what when there are multiple versions of questionnaires, automation of feedback to participants.Large registry study combined with new questionnaire data. Just starting now, and do not even know all issues which will arise.	PSI, Promenta	Dagfinn BergsagerNettskjema supportTSD support	much	yes	6
315246	25616536	I have the feeling that for me and my colleagues there is often the need to consult a statistician to help and guide us which statistical analysis is appropriate to use or could be done. This seems to be a very valuable resource for many I know, independently where they work or what kind of data they work with.	hf	data-processing;fair;help-navigating;learning;new-methods;reproducible	yes	Help with signal processing and especially statistical analysis of human behavioral data, EEG data and sEEG patient data (What should be done with the data).Help with how to use the computing cluster for heavy analysis.Help with acquiring skills with new tools/software/toolboxes to apply statistical analysis or signal processing, e.g. R or Python via workshops. (How to handle the data)Help in how to openly share human behavioral, EEG data and analysis scripts.	RITMO, IMV	My Colleagues	some	yes	2
315246	25612416	The final question needs an option about funds. You can only write in this kind of funds for large project grants, and not many of us get those. The smaller grants that keep many of us afloat do not have this option.	sv	data-flow;data-processing;fair;help-navigating;help-using;learning;new-methods;reproducible	possibly	NA	MAKS	mainly colleagues, other reserachers. IT helped on some things.	some	yes	5
315246	25612319	NA	sv	learning;new-methods	possibly	I occasionally need help with python and more complex R solutions.	PSI	Python, Psychopy	some	yes	5
315246	25612136	NA	sv	data-processing;new-methods;reproducible	napplicable	Handling large datasets (N=10 000>) with both genetics and imaging in an efficient manner (parallell computing, which toolboxes to use for x and y)	PSI	Supervisors, colleagues, the internet	some	yes	6
315246	25610840	NA	sv	data-processing;learning	possibly	NA	PSI	Lab technician	some	yes	7
